id,prompt,permutations
737fadb216c6396e1f2fdb1ab0bebec6,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Dimension called ""Region"".

# Instructions
On the block named ""Region"", Modify the name with ""new_block_name"", and then go modify the name, and replace with the new value ""new name"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""name"",
    ""new value"": ""new_block_name"",
  },
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""name"",
    ""new value"": ""new name"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Dimension"", ""b"": ""Region""}}, {""property"": {""a"": ""name"", ""b"": ""new_block_name""}}, {""property_2"": {""a"": ""name"", ""b"": ""new name""}}]"
5fa30d7cac8c215dac8c92fddb437116,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Dimension called ""Region"".

# Instructions
On the block named ""Region"", Modify the name with ""new_block_name"", and then go modify the description, and replace with the new value ""new description"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""name"",
    ""new value"": ""new_block_name"",
  },
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""description"",
    ""new value"": ""new description"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Dimension"", ""b"": ""Region""}}, {""property"": {""a"": ""name"", ""b"": ""new_block_name""}}, {""property_2"": {""a"": ""description"", ""b"": ""new description""}}]"
633085f06202f57d28a812623da443d2,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Dimension called ""Region"".

# Instructions
On the block named ""Region"", Modify the description with ""this is a new block description for this block"", and then go modify the name, and replace with the new value ""new name"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""description"",
    ""new value"": ""this is a new block description for this block"",
  },
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""name"",
    ""new value"": ""new name"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Dimension"", ""b"": ""Region""}}, {""property"": {""a"": ""description"", ""b"": ""this is a new block description for this block""}}, {""property_2"": {""a"": ""name"", ""b"": ""new name""}}]"
4c78f1a28c4f35e1cef404f832d854ca,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Dimension called ""Region"".

# Instructions
On the block named ""Region"", Modify the description with ""this is a new block description for this block"", and then go modify the description, and replace with the new value ""new description"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""description"",
    ""new value"": ""this is a new block description for this block"",
  },
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""description"",
    ""new value"": ""new description"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Dimension"", ""b"": ""Region""}}, {""property"": {""a"": ""description"", ""b"": ""this is a new block description for this block""}}, {""property_2"": {""a"": ""description"", ""b"": ""new description""}}]"
be6eab2e4c2ef70a7d8a7bb598f44acb,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Dimension called ""Region"".

# Instructions
On the block named ""Region"", Modify the folder_path with ""allblocks/new"", and then go modify the name, and replace with the new value ""new name"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""folder_path"",
    ""new value"": ""allblocks/new"",
  },
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""name"",
    ""new value"": ""new name"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Dimension"", ""b"": ""Region""}}, {""property"": {""a"": ""folder_path"", ""b"": ""allblocks/new""}}, {""property_2"": {""a"": ""name"", ""b"": ""new name""}}]"
af0f1e86274efb57efa2ba963162948b,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Dimension called ""Region"".

# Instructions
On the block named ""Region"", Modify the folder_path with ""allblocks/new"", and then go modify the description, and replace with the new value ""new description"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""folder_path"",
    ""new value"": ""allblocks/new"",
  },
  {
    ""block_type"":""Dimension"",
    ""name"": ""Region"",
    ""metadata to update"": ""description"",
    ""new value"": ""new description"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Dimension"", ""b"": ""Region""}}, {""property"": {""a"": ""folder_path"", ""b"": ""allblocks/new""}}, {""property_2"": {""a"": ""description"", ""b"": ""new description""}}]"
c3da32c402be0b2b60101732107d8247,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Table called ""PnL"".

# Instructions
On the block named ""PnL"", Modify the name with ""new_block_name"", and then go modify the name, and replace with the new value ""new name"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Table"",
    ""name"": ""PnL"",
    ""metadata to update"": ""name"",
    ""new value"": ""new_block_name"",
  },
  {
    ""block_type"":""Table"",
    ""name"": ""PnL"",
    ""metadata to update"": ""name"",
    ""new value"": ""new name"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Table"", ""b"": ""PnL""}}, {""property"": {""a"": ""name"", ""b"": ""new_block_name""}}, {""property_2"": {""a"": ""name"", ""b"": ""new name""}}]"
0910dd1393b940d83817da0fe508d683,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Table called ""PnL"".

# Instructions
On the block named ""PnL"", Modify the name with ""new_block_name"", and then go modify the description, and replace with the new value ""new description"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Table"",
    ""name"": ""PnL"",
    ""metadata to update"": ""name"",
    ""new value"": ""new_block_name"",
  },
  {
    ""block_type"":""Table"",
    ""name"": ""PnL"",
    ""metadata to update"": ""description"",
    ""new value"": ""new description"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Table"", ""b"": ""PnL""}}, {""property"": {""a"": ""name"", ""b"": ""new_block_name""}}, {""property_2"": {""a"": ""description"", ""b"": ""new description""}}]"
cd50031117f6a76b4879a980f479d2a6,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Table called ""PnL"".

# Instructions
On the block named ""PnL"", Modify the description with ""this is a new block description for this block"", and then go modify the name, and replace with the new value ""new name"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Table"",
    ""name"": ""PnL"",
    ""metadata to update"": ""description"",
    ""new value"": ""this is a new block description for this block"",
  },
  {
    ""block_type"":""Table"",
    ""name"": ""PnL"",
    ""metadata to update"": ""name"",
    ""new value"": ""new name"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Table"", ""b"": ""PnL""}}, {""property"": {""a"": ""description"", ""b"": ""this is a new block description for this block""}}, {""property_2"": {""a"": ""name"", ""b"": ""new name""}}]"
7e7a904c70ac4cf696d660086e78174f,"# Persona
You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.

# Goal
Your goal is to edit 2 metadata of inside the Table called ""PnL"".

# Instructions
On the block named ""PnL"", Modify the description with ""this is a new block description for this block"", and then go modify the description, and replace with the new value ""new description"".

# End result
The end result state of the app you would like to achieve:
[
  {
    ""block_type"":""Table"",
    ""name"": ""PnL"",
    ""metadata to update"": ""description"",
    ""new value"": ""this is a new block description for this block"",
  },
  {
    ""block_type"":""Table"",
    ""name"": ""PnL"",
    ""metadata to update"": ""description"",
    ""new value"": ""new description"",
  }
]","[{""persona"": ""You are a senior modeler at Pigment. You know everything there is to know about Pigment. You explain yourself very clearly.""}, {""block_type_and_name"": {""a"": ""Table"", ""b"": ""PnL""}}, {""property"": {""a"": ""description"", ""b"": ""this is a new block description for this block""}}, {""property_2"": {""a"": ""description"", ""b"": ""new description""}}]"
